Player,Team,Age,G,GS,CG,SHO,IP,H,ER,K,BB,HR,W,L,SV,BS,HLD,ERA,WHIP
Jason Hammel,COL,38,32,27,0,0,170.1,175,90,94,68,21,7,13,1,0,0,4.76,1.43
John Danks,CWS,35,27,27,2,1,170.1,182,82,135,46,19,8,12,0,0,0,4.33,1.34
Alexi Ogando,TEX,37,31,29,1,1,169.0,149,66,126,43,16,13,8,0,0,0,3.51,1.14
Mike Leake,CIN,32,29,26,0,0,167.2,159,72,118,38,23,12,9,0,0,0,3.86,1.17
Chris Volstad,FLA,34,29,29,0,0,165.2,187,90,117,49,23,5,13,0,0,0,4.89,1.42
Josh Tomlin,CLE,36,26,26,0,0,165.1,157,78,89,21,24,12,7,0,0,0,4.25,1.08
Ivan Nova,NYY,33,28,27,0,0,165.1,163,68,98,57,13,16,4,0,0,0,3.70,1.33
Bartolo Colon,NYY,47,29,26,1,1,164.1,172,73,135,40,21,8,10,0,0,0,4.00,1.29
Phil Humber,CWS,37,28,26,0,0,163.0,151,68,116,41,14,9,9,0,0,0,3.75,1.18
Paul Maholm,PIT,38,26,26,1,1,162.1,160,66,97,50,11,6,14,0,0,0,3.66,1.29
Jeff Karstens,PIT,38,30,26,1,1,162.1,163,61,96,33,22,9,9,0,0,0,3.38,1.21
