,Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS,Year
647,Seby Zavala,CWS,C,27,5,12,1,1,0,0,0,0,0,0,0,9,0,0,0,0.083,0.083,0.083,0.166,2019
648,Jake Noll,WAS,1B,26,8,12,1,2,1,0,0,2,0,0,1,4,0,0,0,0.16699999999999998,0.231,0.25,0.48100000000000004,2019
649,Raudy Read,WAS,C,27,6,11,0,1,0,0,0,0,0,0,0,5,0,0,0,0.091,0.091,0.091,0.182,2019
652,Troy Tulowitzki,NYY,SS,36,5,11,1,2,1,0,1,1,0,0,2,4,0,0,0,0.182,0.308,0.545,0.853,2019
654,Tyler Heineman,MIA,C,29,5,11,1,3,1,0,1,2,0,0,0,4,1,0,0,0.273,0.273,0.636,0.909,2019
656,Tyrone Taylor,MIL,OF,26,15,10,1,4,2,0,0,1,0,0,1,1,0,0,1,0.4,0.5,0.6,1.1,2019
657,Skye Bolt,OAK,OF,26,5,10,1,1,1,0,0,0,0,0,1,3,0,0,0,0.1,0.182,0.2,0.382,2019
658,Steve Baron,PIT,C,29,7,10,0,2,1,0,0,1,0,0,0,6,0,0,0,0.2,0.2,0.3,0.5,2019
659,Ruben Tejada,NYM,SS,31,6,9,1,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,2019
660,Deivy Grullon,PHI,C,24,4,9,0,1,1,0,0,1,0,0,0,2,0,0,0,0.111,0.111,0.222,0.33299999999999996,2019
661,Michael Reed,SF,OF,27,4,8,0,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0.0,2019
662,Edmundo Sosa,STL,2B,24,8,8,2,2,0,0,0,0,1,0,1,2,0,0,1,0.25,0.4,0.25,0.65,2019
663,Wilkin Castillo,MIA,C,36,2,7,0,1,1,0,0,2,0,0,0,3,0,0,0,0.14300000000000002,0.14300000000000002,0.28600000000000003,0.429,2019
664,Jed Lowrie,NYM,2B,36,9,7,0,0,0,0,0,0,0,0,1,4,0,0,0,0.0,0.125,0.0,0.125,2019
665,Drew Robinson,STL,OF,28,5,7,1,1,0,0,0,0,0,0,0,3,0,0,0,0.14300000000000002,0.14300000000000002,0.14300000000000002,0.28600000000000003,2019
666,Abiatal Avelino,SF,SS,25,4,7,0,2,0,0,0,1,0,0,1,3,0,0,0,0.28600000000000003,0.375,0.28600000000000003,0.6609999999999999,2019
667,Christian Colon,CIN,2B,31,8,6,1,3,0,0,0,1,0,0,0,0,0,0,2,0.5,0.625,0.5,1.125,2019
668,Jacob Nottingham,MIL,C,25,9,6,1,2,0,0,1,4,0,0,0,2,0,0,1,0.33299999999999996,0.429,0.833,1.262,2019
669,Nick Ciuffo,TB,C,25,3,6,0,1,0,0,0,0,0,0,0,3,0,0,0,0.16699999999999998,0.16699999999999998,0.16699999999999998,0.33399999999999996,2019
670,Yasmany Tomas,ARI,DH,29,4,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,2019
672,Deven Marrero,MIA,SS,30,5,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,2019
673,Jim Adduci,CHC,OF,35,2,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,2019
674,Ichiro Suzuki,SEA,OF,46,2,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0,0.16699999999999998,0.0,0.16699999999999998,2019
676,Johnny Davis,TB,OF,30,8,4,5,1,0,1,0,0,0,0,0,2,0,0,0,0.25,0.25,0.75,1.0,2019
677,Sam Haggerty,NYM,2B,26,11,4,2,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,2019
680,Drew Jackson,BAL,OF,27,3,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0,0.25,0.0,0.25,2019
684,Mitch Walding,PHI,3B,28,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,2019
685,Noel Cuevas,COL,OF,29,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2019
686,Tres Barrera,WAS,C,26,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2019
687,Joe Hudson,STL,C,29,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,2019
688,Dylan Cozens,PHI,OF,26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2019
692,Rob Brantly,PHI,C,31,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,2019
